110.01,411.57,113.6,416.12,114.56,416.16,,,let. prima,,,Prima A e B insieme che erano totalmente sbagliati (2.95). Poi pure C che era 0.65
83.86,385.4,83.72,385.34,83.83,385.42,,,let. avanti,,,
0,0,0,1,1,1,,,peso,Numero,3,
-26.15,-26.17,-29.88,-30.78,-30.73,-30.74,,,dislivello,Media,-30.75,
4.6,4.58,0.87,-0.03,0.02,0.01,,,scarto,sigma,0.026457513,
,,,,,,,,,,,
176.01,477.58,176.09,477.61,176,477.57,,,let. prima,,,D era 0.06
115.82,417.35,115.86,417.465,115.78,417.34,,,let. avanti,,,
1,1,1,0,1,1,,,peso,Numero,5,
-60.19,-60.23,-60.23,-60.145,-60.22,-60.23,,,dislivello,Media,-60.22,
0.03,-0.01,-0.01,0.075,0,-0.01,,,scarto,sigma,0.017320508,
,,,,,,,,,,,
131.5,433.05,130.72,433.05,131.53,433.07,131.58,433.08,let. prima,,,"Prima C, poi B e H insieme"
132.09,433.53,132.27,433.68,132.115,433.7,132.26,433.8,let. avanti,,,
1,0,0,1,1,1,1,0,peso,Numero,5,
0.59,0.48,1.55,0.63,0.585,0.63,0.68,0.72,dislivello,Media,0.623,
-0.033,-0.143,0.927,0.007,-0.038,0.007,0.057,0.097,scarto,sigma,0.038340579,
,,,,,,,,,,,
112.68,414.21,112.61,414.26,112.34,414.35,112.58,414.275,let. prima,,,Prima E poi F
113.62,415.14,113.6,415.15,113.59,415.15,113.59,415.13,let. avanti,,,
1,1,1,1,0,0,1,1,peso,Numero,6,
0.94,0.93,0.99,0.89,1.25,0.8,1.01,0.855,dislivello,Media,0.935833333,
0.004,-0.006,0.054,-0.046,0.314,-0.136,0.074,-0.081,scarto,sigma,0.058516379,
,,,,,,,,,,,
75.56,376.56,75.02,376.58,74.97,376.58,,,let. prima,,,
165.66,466.68,165.13,466.67,165.13,466.68,,,let. avanti,,,
1,1,1,1,1,1,,,peso,Numero,6,
90.1,90.12,90.11,90.09,90.16,90.1,,,dislivello,Media,90.11333333,
-0.013,0.007,-0.003,-0.023,0.047,-0.013,,,scarto,sigma,0.025033311,
